;NOME;IDA_2020;IDA_2021;IDA_2022;cluster
1084;ALUNO-1085;3.333333333333333;3.9;4.955555555555556;3
1089;ALUNO-1090;8.0;3.7;1.0;0
1092;ALUNO-1093;5.333333333333333;5.4;4.733333333333333;1
1094;ALUNO-1095;10.0;8.9;9.916666666666668;2
1102;ALUNO-1103;3.5;3.3;3.277777777777777;3
1104;ALUNO-1105;7.5;5.5;5.083333333333334;0
1109;ALUNO-1110;8.5;5.1;4.583333333333333;0
1122;ALUNO-1123;8.333333333333334;7.5;7.866666666666666;2
1126;ALUNO-1127;6.5;5.5;7.166666666666667;1
1127;ALUNO-1128;6.666666666666667;8.1;8.666666666666666;1
1129;ALUNO-1130;9.0;9.5;9.111111111111112;2
1135;ALUNO-1136;7.666666666666667;8.2;7.477777777777778;2
