;NOME;IPV_2020;IPV_2021;IPV_2022;cluster
1216;ALUNO-1217;9.37501;9.5;8.83334;1
1218;ALUNO-1219;8.944453333333334;8.6;8.500005;1
1222;ALUNO-1223;8.77778;6.8;5.62499;3
1225;ALUNO-1226;8.611113333333334;6.8;5.62499;3
1229;ALUNO-1230;7.375;8.1;7.5;3
1230;ALUNO-1231;7.999996666666666;6.5;7.166663333333333;3
1236;ALUNO-1237;7.166663333333332;4.2;4.4166625;0
1243;ALUNO-1244;7.75;7.4;7.555556666666667;3
1247;ALUNO-1248;8.055553333333332;6.1;3.79167;0
1249;ALUNO-1250;7.94444;7.1;6.0416625;3
1250;ALUNO-1251;7.7916675;7.4;7.541665;3
1259;ALUNO-1260;7.333333333333333;7.3;7.277776666666666;3
1263;ALUNO-1264;7.444443333333333;7.3;7.5;3
1274;ALUNO-1275;7.75;9.8;7.666666666666667;1
1277;ALUNO-1278;4.58334;6.2;7.055553333333332;2
1284;ALUNO-1285;6.99999;9.1;8.222223333333334;1
1286;ALUNO-1287;5.58334;8.4;6.555553333333333;2
1288;ALUNO-1289;6.666663333333334;7.1;6.624995;3
1291;ALUNO-1292;8.222226666666668;8.7;8.5000025;1
1297;ALUNO-1298;6.583335;7.8;7.333333333333333;3
1318;ALUNO-1319;7.5;8.4;7.222223333333334;3
1322;ALUNO-1323;8.0;7.9;7.055556666666667;3
1323;ALUNO-1324;7.5;7.1;7.222219999999999;3
1337;ALUNO-1338;9.000005;8.7;7.499996666666666;1
1342;ALUNO-1343;6.583325;3.7;7.444443333333333;0
1347;ALUNO-1348;9.11112;8.5;5.8333275;3
